TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT
ISLE,Isleworth Healthcare Acquisitio,9.78,undefined,None,,undefined,Not Found!,None, 405.91 Mil ,44145000,$54 ,"$1,084 ",1.01875,9.6,None
ISNS,"Image Sensing Systems, Inc.",4.49,8.738675958,0.2,20,1.946252997,10.51,18.592, 16.49 Mil ,15468292,$2.41 ,$2.05 ,1.377300613,3.26,0.012300001
ISRG,"Intuitive Surgical, Inc.",861.38,287.7526411,9.72,10.81,0.334060044,66.53,66.715, 97.67 Bil ,97477697536,"$1,315 ","$1,350 ",1.77278808,485.89,0.010299999
ISTR,Investar Holding Corporation,21.81,undefined,1.737,N/A,undefined,Not Found!,None, 364.05 Mil ,261617248,$10.16 ,"$2,077.90 ",2.181,10,0.0168
ISSC,Innovative Solutions and Suppor,6.2,7.864808362,0.18,20,1.268517478,31.98,31.985, 101.97 Mil ,102005336,$3.94 ,$2.10 ,2.052980132,3.02,0.0013
ITAC,"Industrial Tech Acquisitions, I",10.1,undefined,None,,undefined,Not Found!,None, 96.99 Mil ,96885016,$,$0.40 ,1.046632124,9.65,0.0036
ITACU,"Industrial Tech Acquisitions, I",11.45,undefined,None,,undefined,Not Found!,None, - ,107918152,$,$0.05 ,1.156565657,9.9,None
ISUN,"iSun, Inc.",11.16,undefined,None,N/A,undefined,258.24,-90.644, 102.52 Mil ,99684632,$0.44 ,$10.62 ,6.526315789,1.71,0.0749
ITCI,Intra-Cellular Therapies Inc.,33.58,-1147.421882,-3.226,223.5,-34.16979993,-9.09,-9.055, 2.10 Bil ,2088887424,($230.34),$60.45 ,2.197643979,15.28,0.0863
ITHXU,ITHAX Acquisition Corp.,9.99,undefined,None,,undefined,Not Found!,None, - ,43400000,$,$0.06 ,1.024615385,9.75,None
ITI,"Iteris, Inc.",7.46,15.28731707,0.259,30,2.049238214,239.65,175.134, 298.61 Mil ,271982816,($0.90),$43.90 ,2.398713826,3.11,0.0114
ITIC,Investors Title Company,171.2,398.6062718,20.8,4,2.328307662,Not Found!,5.576, 316.68 Mil ,289389664,($1.50),$82.50 ,1.77501296,96.45,0.012200001
ITOS,"iTeos Therapeutics, Inc.",23.46,undefined,None,N/A,undefined,-12.64,-11.266, 490.26 Mil ,500434144,($25.53),$21.36 ,1.340571429,17.5,0.066
ITMR,Itamar Medical Ltd. - American ,23.84,undefined,-0.9,N/A,undefined,-45.65,-38.129, 350.72 Mil ,370002752,($11.05),$21.07 ,1.880571113,12.677,None
ITRI,"Itron, Inc.",93.4,-73.95679443,-1.44,25,-0.791828634,59.29,25.238, 5.02 Bil ,4562447872,$63 ,"$1,767 ",1.836052683,50.87,0.0446
ITQRU,Itiquira Acquisition Corp.,9.97,undefined,None,,undefined,Not Found!,None, - ,50184412,$,$0.40 ,1.016309888,9.81,None
ITRM,Iterum Therapeutics plc,1.2,undefined,-2.166,N/A,undefined,-6.75,-7.602, 243.14 Mil ,242989552,($54.53),$83.35 ,2.66075388,0.451,0.027999999
ITRN,Ituran Location and Control Ltd,22.47,18.1795122,0.77,6.9,0.809057063,7.42,7.454, 451.75 Mil ,453464096,$49.80 ,$182.60 ,1.794728435,12.52,0.0051
IVAC,"Intevac, Inc.",6.93,1.01184669,0.04,8,0.146009623,21.76,23.795, 131.33 Mil ,130489904,$6.24 ,$25.68 ,1.7325,4,0.018
IVA,Inventiva S.A. - American Depos,13.16,undefined,None,,undefined,-10.73,-12.951, 400.84 Mil ,411524256,($37.57),$33.71 ,1.460599334,9.01,None
IZEA,"IZEA Worldwide, Inc.",3.86,-7.033867596,-0.248,10,-1.822245491,-21.9,-41.993, 214.28 Mil ,197059824,($2.96),$11.63 ,26.62068966,0.145,0.0638
JAGX,"Jaguar Health, Inc.",1.64,-74.3554007,-1,40,-45.33865896,-7.6,-11.13, 218.53 Mil ,217890064,($15.29),$25.64 ,8.864864865,0.185,0.0424
JACK,Jack In The Box Inc.,118.93,214.7617003,5.76,15.82,1.805782396,16.03,15.904, 4.78 Bil ,4715634688,$164 ,"$2,663 ",3.125624179,38.05,0.0775
JAKK,"JAKKS Pacific, Inc.",7.36,-153.9831359,-4.274,15,-20.92162172,7.37,5.316, 140.85 Mil ,137376560,$35.30 ,$316.40 ,2.23030303,3.3,0.01
JAMF,Jamf Holding Corp.,37.41,undefined,None,53.5,undefined,236.72,151.06, 4.22 Bil ,4210048512,$48.40 ,$262.70 ,1.298056905,28.82,0.1097
JAN,JanOne Inc.,7.17,undefined,-3.952,N/A,undefined,-3.06,-4.817, 23.68 Mil ,23480450,($1.27),$20.60 ,3.334883721,2.15,0.038599998
JAZZ,Jazz Pharmaceuticals plc,163.22,128.7467596,4.22,11.4,0.788792792,14.43,9.112, 9.43 Bil ,9510536192,$520 ,"$2,876 ",1.603182399,101.81,0.0855
JBHT,"J.B. Hunt Transport Services, I",169.64,236.2262341,5.131,21.53,1.392514938,16.34,14.419, 19.01 Bil ,18674489344,$384 ,"$3,328 ",1.797414707,94.38,0.023699999
JBSS,"John B. Sanfilippo & Son, Inc.",88.89,undefined,4.88,N/A,undefined,11.08,11.769, 1.06 Bil ,1093462656,$51.60 ,$153.60 ,1.251971831,71,0.0523
JBLU,JetBlue Airways Corporation,20.12,222.9496864,-4.88,-38.3,11.08099833,-7.62,-5.998, 8.99 Bil ,9033501696,"($1,474)","$9,455 ",2.741144414,7.34,0.0321
JCIC,Jack Creek Investment Corp.,9.705,undefined,None,,undefined,Not Found!,None, 419.39 Mil ,60937500,$,$0.47 ,1.0109375,9.6,None
JCICU,Jack Creek Investment Corp.,10.015,undefined,None,,undefined,Not Found!,None, - ,62818124,$,$0.47 ,1.021938776,9.8,None
JCOM,"j2 Global, Inc.",122.28,97.01770035,3.18,11.4,0.79340612,11.83,12.244, 6.99 Bil ,7114767360,$384 ,"$2,454 ",2.296338028,53.25,0.1568
JCS,"Communications Systems, Inc.",6.07,undefined,-0.018,N/A,undefined,64.89,-33.571, 40.17 Mil ,40291608,($1.44),$8.48 ,1.640540541,3.7,0.0138
JCTCF,Jewett-Cameron Trading Company,9.95,undefined,0.982,N/A,undefined,6.86,6.932, 32.97 Mil ,33343524,($1.66),$3.38 ,1.950980392,5.1,0.0003
JD,"JD.com, Inc.",78.46,100.933731,4.884,4.98,1.286435521,14.02,2.429, 107.56 Bil ,40718254080,"$6,136 ","$33,307 ",1.933226562,40.585,None
JFIN,Jiayin Group Inc.,7.5,undefined,0.721,N/A,undefined,8.57,0.612, 378.61 Mil ,195836496,$0.00 ,$159.60 ,3.987240829,1.881,None
JFU,9F Inc.,1.57,undefined,None,-13.22,undefined,0.59,0.857,"-197,215,000.00",-3232653056,$0.00 ,$275.00 ,2.180555556,0.72,None
JG,Aurora Mobile Limited,3.52,undefined,-0.298,N/A,undefined,-15.11,-1.388, 474.76 Mil ,195913120,$0.00 ,$71.29 ,2.514285714,1.4,None
JJSF,J & J Snack Foods Corp.,162.27,3.445644599,0.155,6,0.021234021,54.95,52.999, 2.95 Bil ,2954464000,$37.00 ,$251.90 ,1.479890561,109.65,0.074200004
JKHY,"Jack Henry & Associates, Inc.",163.51,110.420499,3.889,10.02,0.67531343,22.29,27.515, 12.39 Bil ,12358663168,$330 ,$742 ,1.154324038,141.65,0.040599998
JNCE,"Jounce Therapeutics, Inc.",10.03,undefined,-1.24,N/A,undefined,-7.53,-6.369, 320.96 Mil ,265708416,($27.88),$32.94 ,2.33255814,4.3,0.051799998
JOBS,"51job, Inc.",62.7,43.88839024,2.485,3.02,0.699974326,20.45,-2.11, 2.61 Bil ,-2010438656,$0.00 ,$501.20 ,1.137311808,55.13,None
JOUT,Johnson Outdoors Inc.,146.88,234.0125436,6.784,14,1.593222655,12.51,13.464, 1.33 Bil ,1331981952,$62.70 ,$178.60 ,2.628489621,55.88,0.023699999
JOFFU,JOFF Fintech Acquisition Corp.,10,undefined,None,,undefined,Not Found!,None, - ,90000000,$,$0.18 ,1.029866117,9.71,None
JRJC,China Finance Online Co. Limite,10.81,undefined,-3.624,N/A,undefined,-1.05,None, 10.31 Mil ,-22117342,$0.00 ,$66.88 ,2.736708861,3.95,None
JRVR,"James River Group Holdings, Ltd",46.77,undefined,0.158,N/A,undefined,72.7,52.757, 1.64 Bil ,1527624960,($274.10),"$4,267.50 ",1.66856939,28.03,0.0155
JRSH,"Jerash Holdings (US), Inc.",6.73,undefined,0.241,N/A,undefined,7.03,10.475, 51.87 Mil ,53829608,$3.16 ,$15.83 ,1.748051948,3.85,0.0094
JUPW,"Jupiter Wellness, Inc.",4.7,undefined,None,,undefined,-7.96,-9.302, 47.85 Mil ,46726476,($2.78),$2.13 ,1.260053619,3.73,0.038
JVA,"Coffee Holding Co., Inc.",4.83,7.925365854,0.211,16,1.640862496,10.97,17.71, 29.17 Mil ,28748130,$5.00 ,$8.23 ,2.185520362,2.21,0.0008
JYAC,Jiya Acquisition Corp.,10,undefined,None,,undefined,Not Found!,None, 139.47 Mil ,135803856,$,$0.05 ,1.040582726,9.61,0.0007
JYNT,The Joint Corp.,56.3,39.32404181,0.9,20,0.698473212,99.01,97.123, 809.32 Mil ,794003456,$6.99 ,$44.98 ,5.55774926,10.13,0.0946
KAIIU,Kismet Acquisition Two Corp.,9.95,undefined,None,,undefined,Not Found!,None, - ,62187500,$,$0.08 ,1.021560575,9.74,None
KAIRU,Kairos Acquisition Corp.,10.05,undefined,None,,undefined,Not Found!,None, - ,351017856,$,$0.05 ,1.015151515,9.9,None
KALA,"Kala Pharmaceuticals, Inc.",8.15,-235.4585645,-1.992,68.6,-28.89062141,-4.69,-4.754, 440.41 Mil ,448421664,($92.64),$121.61 ,1.358333333,6,0.2215
KALU,Kaiser Aluminum Corporation,119.75,16.3164878,1.81,-2.62,0.136254595,15.04,13.211, 1.98 Bil ,1877326592,$155 ,"$1,132 ",2.371756784,50.49,0.033
KALV,"KalVista Pharmaceuticals, Inc.",25.06,undefined,-2.117,N/A,undefined,-11.92,-11.603, 576.12 Mil ,560567296,($31.80),$7.64 ,3.332446809,7.52,0.0644
KBNT,"Kubient, Inc.",6.51,undefined,None,N/A,undefined,-16.39,-15.583, 66.50 Mil ,64691896,($6.12),$2.88 ,3.1,2.1,0.1284
KBAL,"Kimball International, Inc.",14.11,24.47289199,0.626,17,1.734436002,10.86,8.883, 538.65 Mil ,546870336,$24.40 ,$220.10 ,1.525405405,9.25,0.026400002
KBSF,KBS Fashion Group Limited,2.87,undefined,-1.484,,undefined,15.17,1.907,"-7,430,000.00",-8021041,($0.35),$6.64 ,2.021126761,1.42,0.0346
KC,Kingsoft Cloud Holdings Limited,48.38,undefined,None,N/A,undefined,-76.61,-11.767, 10.31 Bil ,5285663744,($44.70),$564.20 ,2.844209289,17.01,None
KDMN,"Kadmon Holdings, Inc.",3.96,undefined,-0.668,N/A,undefined,-5.87,-6.027, 629.71 Mil ,606515456,($87.97),$46.69 ,1.259141494,3.145,0.2563
KDNY,"Chinook Therapeutics, Inc.",15.37,undefined,None,9,undefined,-7.55,-10.105, 481.62 Mil ,445723136,$30.28 ,$94.38 ,1.463809524,10.5,0.040999997
KE,"Kimball Electronics, Inc.",22.31,undefined,1.447,N/A,undefined,6.63,6.333, 545.76 Mil ,552704000,$74 ,$366 ,2.028181818,11,0.019
KDP,Keurig Dr Pepper Inc.,35.51,24.89418815,0.93,8.96,0.701047259,22.44,18.122, 63.99 Bil ,64224059392,"$1,939 ","$25,949 ",1.42667738,24.89,0.11359999
KELYA,"Kelly Services, Inc.",24.5,-66.0030662,-1.832,15,-2.694002702,-14.33,11.68, 838.34 Mil ,801233984,$171 ,"$1,359 ",2.225249773,11.01,None
KELYB,"Kelly Services, Inc.",25.09,undefined,-1.832,,undefined,-13.72,11.869, 841.19 Mil ,814207424,$171 ,"$1,359 ",2.424154589,10.35,0.0018
KEQU,Kewaunee Scientific Corporation,12.06,undefined,-0.638,N/A,undefined,143.54,56.963, 42.20 Mil ,42551548,($0.40),$51.30 ,1.658872077,7.27,0.0013
KERN,Akerna Corp.,4.35,undefined,-1.785,N/A,undefined,-5.36,-6.794, 124.20 Mil ,109359520,($18.69),$23.61 ,2.004608295,2.17,0.1257
KFRC,"Kforce, Inc.",55.86,94.39303136,2.62,15,1.689814382,14.83,14.24, 1.27 Bil ,1193732608,$103 ,$299 ,2.214908803,25.22,0.0186
KFFB,Kentucky First Federal Bancorp,7.12,undefined,-1.505,N/A,undefined,Not Found!,None, 104.15 Mil ,104538608,$0.30 ,$278.85 ,1.294545455,5.5,0.0023
KHC,The Kraft Heinz Company,40.1,2.618689895,0.29,-2.61,0.065303987,21.84,10.928, 74.11 Bil ,74924351488,"$4,333 ","$49,587 ",1.539938556,26.04,0.0344
KIDS,OrthoPediatrics Corp.,55.52,undefined,-1.824,N/A,undefined,-45.7,-95.839, 1.02 Bil ,1008706752,($29.83),$85.64 ,1.460668245,38.01,0.1685
KIIIU,Kismet Acquisition Three Corp.,9.97,undefined,None,,undefined,Not Found!,None, - ,67432496,$,$0.10 ,1.023613963,9.74,None
KIN,"Kindred Biosciences, Inc.",4.67,-41.26724739,-0.555,40,-8.836669676,-12.65,-3.137, 164.59 Mil ,158561856,($13.50),$28.33 ,1.459375,3.2,0.0348
KINZ,KINS Technology Group Inc.,9.93,undefined,None,,undefined,Not Found!,None, 342.59 Mil ,341274848,$,$0.03 ,1.029015544,9.65,0.003
KINS,"Kingstone Companies, Inc",8.58,undefined,0.09,N/A,undefined,35.87,29.719, 98.96 Mil ,101132136,($2.10),$238.00 ,2.145,4,0.0024
KINZU,KINS Technology Group Inc.,10.3,undefined,None,,undefined,Not Found!,None, - ,353349856,$,$0.03 ,1.024875622,10.05,None
KIRK,"Kirkland's, Inc.",29.76,40.35121951,1.12,15,1.355887752,16.31,12.566, 520.75 Mil ,514321408,$69.90 ,$292.20 ,41.33333333,0.72,0.1454
KLAC,KLA Corporation,330.49,313.6513171,8.743,14.9,0.949049342,25.84,22.642, 52.04 Bil ,52205854720,"$1,768 ","$6,864 ",2.255596506,146.52,0.0184
KLAQ,KL Acquisition Corp,9.75,undefined,None,,undefined,Not Found!,None, 350.39 Mil ,350864544,$,$0.02 ,1.014568158,9.61,0.0004
KLAQU,KL Acquisition Corp,9.98,undefined,None,,undefined,Not Found!,None, - ,360567648,$,$0.02 ,1.018367347,9.8,None
KLDO,"Kaleido Biosciences, Inc.",7.65,undefined,-2.44,N/A,undefined,-3.82,-3.354, 294.14 Mil ,258465168,($65.54),$38.85 ,1.517857143,5.04,0.1346
KLIC,"Kulicke and Soffa Industries, I",58.27,60.64641115,1.388,20,1.040782755,23.95,26.779, 2.98 Bil ,3038469888,$113.60 ,$339.20 ,2.899004975,20.1,0.0113
KMDA,Kamada Ltd.,6.11,8.44738676,0.38,6,1.382551024,7.2,7.196, 169.70 Mil ,166382448,$13.60 ,$32.00 ,1.057093426,5.78,0.033299997
KLXE,"KLX Energy Services Holdings, I",8.45,undefined,-51.108,N/A,undefined,-1.15,-4.229, 274.65 Mil ,278297984,($77.10),$330.60 ,2.414285714,3.5,0.0624
KMPH,"KemPharm, Inc.",9.46,undefined,-3.205,N/A,undefined,-60.11,-74.262, 334.58 Mil ,334773984,($1.97),$77.62 ,4.886363636,1.936,0.118
KNDI,"Kandi Technologies Group, Inc.",5.88,undefined,-0.186,N/A,undefined,-88.42,-56.872, 306.57 Mil ,301340672,($69.07),$91.48 ,2.342629482,2.51,0.16319999
KNSA,"Kiniksa Pharmaceuticals, Ltd.",16.68,415.344669,-2.61,-112.3,24.90075953,-5.31,-5.192, 822.98 Mil ,804559744,($136.82),$37.53 ,1.149552033,14.51,0.13319999
KNSL,"Kinsale Capital Group, Inc.",177.47,139.4278746,3.87,15,0.785641937,Not Found!,38.729, 3.93 Bil ,3949864448,$247.10 ,$970.70 ,1.738027617,102.11,0.0307
KNTE,Kinnate Biopharma Inc.,26.97,undefined,None,N/A,undefined,-21.04,-21.379, 755.73 Mil ,767900608,$,$7.30 ,1.117186529,24.141,0.056700002
KOD,Kodiak Sciences Inc,121.19,-93.24167247,-2.91,12.4,-0.769384211,-40.75,-38.564, 5.25 Bil ,5226570752,($90.43),$206.60 ,2.884102808,42.02,0.1088
KOPN,Kopin Corporation,8.94,-2.359442509,-0.054,20,-0.263919744,-193.78,-181.6, 797.04 Mil ,746798080,USD-4.96,USD19.25,26.29411765,0.34,0.05
KOSS,Koss Corporation,19.79,undefined,0.094,N/A,undefined,338.05,292.231, 163.28 Mil ,141235600,$1.67 ,$7.75 ,24.7375,0.8,0.2855
KRBP,"Kiromic BioPharma, Inc.",8.42,undefined,None,,undefined,-2.71,-2.713, 51.55 Mil ,51548040,($7.58),$1.47 ,1.051186017,8.01,0.0036
KPTI,Karyopharm Therapeutics Inc.,9.64,91.04044599,-2.724,-30.3,9.444029667,-3.56,-3.519, 597.98 Mil ,601364544,($160.40),$262.50 ,1.030464992,9.355,0.22299999
KRKR,36Kr Holdings Inc.,3.06,undefined,None,N/A,undefined,-2.32,0.204, 89.63 Mil ,-53323124,$0.00 ,$27.92 ,1.336244541,2.29,None
KRMD,"Repro Med Systems, Inc.",3.34,undefined,None,N/A,undefined,75.98,74.869, 122.41 Mil ,125920128,($1.81),$3.76 ,1.050314465,3.18,0.0733
KRNLU,"Kernel Group Holdings, Inc.",9.99,undefined,None,,undefined,Not Found!,None, - ,62375000,$,$0.33 ,1.023565574,9.76,None
KRNT,Kornit Digital Ltd.,104.17,-10.51569338,-0.113,52.2,-0.100947426,-2219.18,-2209.813, 4.48 Bil ,4459403264,$18.80 ,$110.00 ,4.404651163,23.65,0.011
KRNY,Kearny Financial,12.56,11.80487805,0.616,4,0.939878826,Not Found!,None, 1.80 Bil ,1780242688,$20.40 ,"$6,242.80 ",1.817655572,6.91,0.016900001
KRON,"Kronos Bio, Inc.",24.96,undefined,None,N/A,undefined,-13.58,-16.061, 1.00 Bil ,918746752,($39.34),$46.45 ,1.010935601,24.69,0.0834
KROS,"Keros Therapeutics, Inc.",65.4,undefined,None,N/A,undefined,-28.74,-25.175, 1.26 Bil ,1167568384,($37.19),$7.72 ,3.42408377,19.1,0.1008
KRTX,"Karuna Therapeutics, Inc.",112.47,43.13349129,-1.901,-23.3,0.383511081,-44.14,-37.128, 3.02 Bil ,2586760192,($70.28),$8.69 ,1.710570342,65.75,0.1419
KRUS,"Kura Sushi USA, Inc.",35.42,undefined,0.098,N/A,undefined,-17.6,-14.802, 370.55 Mil ,371457312,($38.90),$81.99 ,3.666666667,9.66,0.059899997
KRYS,"Krystal Biotech, Inc.",81.61,undefined,-1.712,N/A,undefined,-49.38,-49.57, 1.52 Bil ,1543997696,($40.93),$18.76 ,2.165870488,37.68,0.0682
KSMT,Kismet Acquisition One Corp,9.94,undefined,None,,undefined,Not Found!,None, 314.66 Mil ,316746592,$,$0.03 ,1.074594595,9.25,0.0012
KSMTU,Kismet Acquisition One Corp,10.41,undefined,None,,undefined,Not Found!,None, - ,325668352,$,$0.03 ,1.062244898,9.8,None
KSPN,Kaspien Holdings Inc.,22.89,undefined,None,10,undefined,-19.34,-15.812, 72.45 Mil ,57759716,($1.90),$47.20 ,7.529605263,3.04,0.0096
KTCC,Key Tronic Corporation,7.2,undefined,0.521,N/A,undefined,13.72,13.309, 171.55 Mil ,189768800,($38.90),$199.20 ,2.608695652,2.76,0.0068
KTRA,"Kintara Therapeutics, Inc.",1.48,undefined,None,N/A,undefined,-1.65,None, 48.95 Mil ,50475508,($13.49),$2.90 ,3.540669856,0.418,0.020599999
KTOS,Kratos Defense & Security Solut,27.1,10.81756098,0.672,2,0.399171992,51.17,59.823, 3.29 Bil ,3368049920,$10.70 ,$637.50 ,2.031484258,13.34,0.0377
KURA,"Kura Oncology, Inc.",27.44,-73.61685993,-1.689,19.93,-2.682830172,-13.49,-13.466, 1.20 Bil ,1234908928,($72.00),$36.31 ,3.354523227,8.18,0.1604
KURIU,Alkuri Global Acquisition Corp.,9.93,undefined,None,,undefined,Not Found!,None, - ,432975008,$,$0.52 ,1.038702929,9.56,None
KVHI,"KVH Industries, Inc.",13.7,-73.30829268,-1.242,30,-5.350970269,-22.77,-289.385, 229.65 Mil ,226877728,($17.20),$51.70 ,1.856368564,7.38,0.010199999
KVSA,Khosla Ventures Acquisition Co.,10.35,undefined,None,,undefined,Not Found!,None, 471.28 Mil ,None,$,$0.20 ,1.040201005,9.95,0.0005
KVSB,Khosla Ventures Acquisition Co.,10.37,undefined,None,,undefined,Not Found!,None, 495.01 Mil ,None,$,$0.12 ,1.04641776,9.91,None
KXIN,Kaixin Auto Holdings,2.62,undefined,-2.276,,undefined,2.56,-2.799, 188.48 Mil ,157311792,($1.09),$49.16 ,6.55,0.4,0.0515
KVSC,Khosla Ventures Acquisition Co.,10.23,undefined,None,,undefined,Not Found!,None, 642.59 Mil ,None,$,$0.12 ,1.055727554,9.69,0.0014
KYMR,"Kymera Therapeutics, Inc.",42.09,undefined,None,-14.9,undefined,-54.11,-31.43, 1.66 Bil ,1421938688,$96.75 ,$203.29 ,1.655131734,25.43,0.066
KZIA,Kazia Therapeutics Limited,11.06,undefined,-1.06,N/A,undefined,-13.84,-10.231, 122.27 Mil ,121435480,($6.08),$5.98 ,4.424,2.5,None
KZR,"Kezar Life Sciences, Inc.",5.72,undefined,-0.949,N/A,undefined,-3.35,-3.38, 138.51 Mil ,139956480,($37.14),$10.86 ,1.558583106,3.67,0.084
LABP,"Landos Biopharma, Inc.",11.78,undefined,None,N/A,undefined,-15.1,-14.843, 453.28 Mil ,453300160,$,$84.35 ,1.294505495,9.1,0.19569999
LACQ,Leisure Acquisition Corp.,12.2,undefined,0.377,,undefined,-57.37,None, 78.55 Mil ,79849976,($0.86),$7.80 ,1.206726014,10.11,0.0178
LAKE,"Lakeland Industries, Inc.",28.8,122.2418118,4.31,10,4.244507356,4.07,3.997, 186.41 Mil ,183135040,$39.00 ,$17.00 ,2.31511254,12.44,0.0689
LAMR,Lamar Advertising Company,98.71,42.48989547,2.41,3,0.430451783,21.95,21.541, 13.98 Bil ,14053165056,$508 ,"$4,589 ",2.386028523,41.37,0.0274
LAND,Gladstone Land Corporation,21.21,-5.615749129,-0.198,10,-0.264768936,28.3,27.451, 1.20 Bil ,1212296576,$8.49 ,$683.50 ,1.87037037,11.34,0.011
LANC,Lancaster Colony Corporation,183.51,85.86132404,4.87,3,0.467883625,22.72,22.927, 4.88 Bil ,4920136704,$102 ,$228 ,1.474805111,124.43,0.047399998
LANDM,Gladstone Land Corporation - 5.,26.29,undefined,None,,undefined,,30.503,,1347082112,Not Found!,Not Found!,1.049082203,25.06,None
LANDO,Gladstone Land Corporation - 6.,25.89,undefined,None,,undefined,,30.222,,1334667904,Not Found!,Not Found!,1.113548387,23.25,None
LARK,Landmark Bancorp Inc.,25.05,undefined,4.1,N/A,undefined,Not Found!,None, 56.22 Mil ,57269856,$14.46 ,"$1,061.36 ",1.337426588,18.73,0.0178
LASR,"nLIGHT, Inc.",31.76,-32.46341463,-0.55,30,-1.022147816,-161.89,-157.855, 1.24 Bil ,1146499328,($11.30),$63.70 ,3.030534351,10.48,0.0297
LATN,Union Acquisition Corp. II,10.06,undefined,None,,undefined,-217.29,None, 185.79 Mil ,250826032,($0.70),$0.03 ,1.033915725,9.73,0.0006
LATNU,Union Acquisition Corp. II,10.6039,undefined,None,,undefined,Not Found!,None, - ,263576032,($0.70),$0.03 ,1.086465164,9.76,None
LAWS,"Lawson Products, Inc.",50.9,58.36515679,1.62,15,1.146663198,16.06,14.372, 451.83 Mil ,453087040,$30.80 ,$133.90 ,1.947207345,26.14,0.0117
LAUR,"Laureate Education, Inc.",12,-105.5616725,-2.93,15,-8.796806039,-6.35,16.591, 3.09 Bil ,3242727680,$185 ,"$2,707 ",1.603206413,7.485,0.0511
LAZY,"Lazydays Holdings, Inc.",24.71,79.96578397,1.557,25,3.236170942,7.88,8.155, 491.58 Mil ,487115680,$92.40 ,$288.40 ,12.67179487,1.95,0.1017
LAZR,"Luminar Technologies, Inc.",23.85,undefined,None,-28.29,undefined,-22,-87.642, 7.85 Bil ,7393280000,$,$361.61 ,2.416413374,9.87,None
LBAI,"Lakeland Bancorp, Inc.",17.4,30.26341463,1.128,9,1.739276703,Not Found!,None, 798.08 Mil ,944820864,$77.50 ,"$6,900.50 ",1.979522184,8.79,0.0228
LBC,Luther Burbank Corporation,11.13,22.83630662,0.961,7,2.051779571,Not Found!,None, 1.37 Bil ,1501202816,$63.60 ,"$6,292.40 ",1.468337731,7.58,0.1776
LBRDA,Liberty Broadband Corporation,152.95,-162.083122,2.17,-57.22,-1.059713122,84.41,-759.826, 34.15 Bil ,33757534208,($97.56),"$7,856.71 ",1.428237931,107.09,0.0068
LBRDK,Liberty Broadband Corporation,157.9,undefined,2.17,N/A,undefined,84.43,-780.928, 34.16 Bil ,34695065600,($97.56),"$7,856.71 ",1.417796534,111.37,0.024400001
LBTYA,Liberty Global plc,25.79,191.0248808,-2.704,-54.58,7.406936054,14.89,6.452, 26.76 Bil ,29431769088,"$2,836 ","$45,794 ",1.519740719,16.97,0.023699999
LBTYB,Liberty Global plc,26.45,undefined,-2.704,,undefined,14.62,6.472, 26.62 Bil ,29524154368,"$2,836 ","$45,794 ",1.515759312,17.45,0.0002
LBTYK,Liberty Global plc,25.85,undefined,-2.704,N/A,undefined,14.92,6.459, 26.80 Bil ,29466413056,"$2,836 ","$45,794 ",1.617647059,15.98,0.043
LCAAU,L Catterton Asia Acquisition Co,10,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.08 ,1.022494888,9.78,None
LCAHU,"Landcadia Holdings IV, Inc.",10,undefined,None,,undefined,Not Found!,None, - ,None,($1.76),$11.36 ,1.027749229,9.73,None
LCAP,Lionheart Acquisition Corp. II,9.95,undefined,None,,undefined,-196.84,None, 289.75 Mil ,288572864,$0.00 ,$9.22 ,1.040794979,9.56,0.0021
LCAPU,Lionheart Acquisition Corp. II,10.23,undefined,None,,undefined,Not Found!,None, - ,298733504,$0.00 ,$9.22 ,1.035425101,9.88,None
LCNB,LCNB Corporation,17.5,23.82898955,1.57,1.4,1.361656546,Not Found!,None, 222.53 Mil ,213231344,$10.89 ,"$1,505.06 ",1.661918329,10.53,0.0143
LCUT,"Lifetime Brands, Inc.",14.8,-4.084181185,-0.144,10,-0.275958188,14.39,9.679, 683.38 Mil ,690356928,$42.70 ,$577.30 ,3.946666667,3.75,0.038
LCYAU,"Landcadia Holdings III, Inc.",11.72,undefined,None,,undefined,Not Found!,None, - ,723124992,$0.00 ,$17.63 ,1.195918367,9.8,None
LCY,"Landcadia Holdings III, Inc.",11.09,undefined,None,,undefined,-2930.74,None, 682.86 Mil ,681875008,$0.00 ,$17.63 ,1.155208333,9.6,0.038900003
LDHAU,LDH Growth Corp I,10.105,undefined,None,,undefined,Not Found!,None, - ,50900000,$,$0.17 ,1.035348361,9.76,None
LE,"Lands' End, Inc.",23.26,14.41881533,0.33,20,0.619897478,14.02,13.3, 1.09 Bil ,1126831488,USD61,USD676,4.587771203,5.07,0.10479999
LECO,"Lincoln Electric Holdings, Inc.",129.64,138.9449477,3.42,18,1.071775283,22.46,20.14, 8.23 Bil ,8053434368,$292 ,"$1,524 ",1.903112155,68.12,0.0174
LEDS,SemiLEDS Corporation,4.05,-33.54271777,-0.374,50,-8.282152536,-79.91,-8.688, 23.82 Mil ,22719992,($1.66),$13.51 ,2.382352941,1.7,0.1249
