TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL LIABILITIES
CGNX,82.99,34.01315789473684,1,15.00,0.4098464621609452, 61.76 , 14.54 Bil ,$229.1 Mil ,$538.5 Mil 
CGO,14.89,undefined,1.552,N/A,undefined,Not Found!, 173.44 Mil ,$7.95 Mil ,$50.89 Mil 
CGRO,9.96,undefined,None,,undefined, -272.3 , 178.90 Mil ,$ Mil ,$5.40 Mil 
CGROU,10.38,undefined,None,,undefined,Not Found!, - ,$ Mil ,$5.40 Mil 
CHB,16.2304,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CHCI,5.78,10.415986842105264,0.389,10.00,1.8020738481150975, 15.41 , 54.20 Mil ,$3.95 Mil ,$7.84 Mil 
CHCO,81.78,132.54276315789477,5.55,8.00,1.620723442869831,Not Found!, 788.56 Mil ,$84.3 Mil ,"$5,057.5 Mil "
CHDN,227.42,-126.63359210526318,-2.049,34.20,-0.5568269813792243, 56.28 , 10.46 Bil ,$-92 Mil ,"$2,319 Mil "
CHEF,30.46,-105.74763157894736,-2.46,21.20,-3.4716884956975496, -21.93 , 1.52 Bil ,$36 Mil ,$630 Mil 
CHEK,1.76,undefined,-0.456,N/A,undefined, -8.3 , 113.64 Mil ,$-13.49 Mil ,$3.26 Mil 
CHFS,5.9,undefined,-10.669,N/A,undefined, -1.5 , 24.97 Mil ,$-16.87 Mil ,$3.69 Mil 
CHI,14.22,undefined,2.863,N/A,undefined,Not Found!, 1.31 Bil ,$57.4 Mil ,$394.5 Mil 
CHK,43.39,undefined,None,-82.34,undefined, -0.41 , 7.70 Bil ,"$1,133 Mil ","$11,925 Mil "
CHKP,111.97,127.15189473684212,5.96,6.24,1.1355889500477103, 15.26 , 14.24 Bil ,"$1,132 Mil ","$2,373 Mil "
CHMA,3.13,-113.58021052631578,-1.432,46.30,-36.287607196906, -0.73 , 48.52 Mil ,$-75.70 Mil ,$84.55 Mil 
CHMG,41.82,undefined,4.011,N/A,undefined,Not Found!, 100.65 Mil ,$27.79 Mil ,"$2,079.75 Mil "
CHNA,36.8791,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CHNG,22.1,-15.439657894736845,-0.773,5.30,-0.6986270540604906, -24.81 , 11.66 Bil ,$304 Mil ,"$6,914 Mil "
CHNR,1.82,undefined,0,N/A,undefined, -91.68 , 68.30 Mil ,$-0.48 Mil ,$4.09 Mil 
CHPM,9.91,undefined,None,,undefined, -819.46 , 371.22 Mil ,$-0.60 Mil ,$10.84 Mil 
CHPMU,10.36,undefined,None,,undefined,Not Found!, - ,$-0.60 Mil ,$10.84 Mil 
CHRS,14.61,25.15063157894737,1.624,2.20,1.7214669116322636, 5.85 , 931.96 Mil ,$146.9 Mil ,$560.7 Mil 
CHRW,95.43,99.28484210526318,3.72,9.94,1.040394447293966, 17.98 , 13.92 Bil ,$445 Mil ,"$3,264 Mil "
CHSCL,28.79,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CHSCM,27.62,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CHSCN,27.61,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CHSCO,28.73,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CHSCP,30.18,undefined,None,N/A,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CHTR,617.02,941.5073684210528,15.4,33.74,1.5258944092915185, 12.29 , 219.48 Bil ,"$6,606 Mil ","$113,925 Mil "
CHUY,44.32,-6.122368421052631,-0.18,15.00,-0.13814008170245107, 49.8 , 1.03 Bil ,$30.6 Mil ,$251.8 Mil 
CHW,10.22,undefined,0.965,N/A,undefined,Not Found!, 763.07 Mil ,$61.86 Mil ,$244.45 Mil 
CHX,21.73,undefined,None,-5.94,undefined, -10.39 , 5.16 Bil ,$265 Mil ,"$1,863 Mil "
CHY,14.91,undefined,3.059,N/A,undefined,Not Found!, 1.42 Bil ,$59.9 Mil ,$435.0 Mil 
CIBR,41.82,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CID,31.9744,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CIDM,1.67,-16.306776315789477,-0.609,10.00,-9.764536716041604, -5.51 , 263.55 Mil ,$-15.41 Mil ,$80.81 Mil 
CIGI,98.24,50.324999999999996,1.22,20.00,0.5122658794788273, 17.42 , 5.39 Bil ,$126 Mil ,"$2,706 Mil "
CIH,2.18,undefined,None,,undefined, 2.49 , 120.25 Mil ,$0.00 Mil ,$65.16 Mil 
CIL,42.7036,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CINF,103.09,166.83975,7.49,6.89,1.6183892715103307, 10.25 , 16.77 Bil ,"$1,471 Mil ","$16,753 Mil "
CIVB,22.94,47.66763157894737,1.996,8.00,2.0779263983848026,Not Found!, 390.69 Mil ,$30.2 Mil ,"$2,412.8 Mil "
CIZ,32.54,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CIZN,19.9,undefined,1.24,N/A,undefined,Not Found!, 122.28 Mil ,$12.02 Mil ,"$1,331.14 Mil "
CJJD,1.12,-15.936973684210527,-0.286,30.00,-14.229440789473683, -10.67 , 86.85 Mil ,$-9.0 Mil ,$76.5 Mil 
CKPT,3.14,undefined,-0.413,N/A,undefined, -8.63 , 199.91 Mil ,$-16.55 Mil ,$7.22 Mil 
CLAR,17.05,4.8197368421052635,0.18,10.00,0.2826825127334465, 41.49 , 569.35 Mil ,$24.0 Mil ,$76.1 Mil 
CLBK,17.48,undefined,0.52,N/A,undefined,Not Found!, 2.31 Bil ,$43.3 Mil ,"$7,787.2 Mil "
CLBS,1.93,-52.348421052631586,-0.528,60.00,-27.123534224161446, -4.15 , 78.86 Mil ,$-8.84 Mil ,$3.76 Mil 
CLDB,22.07,undefined,1.97,N/A,undefined,Not Found!, 85.47 Mil ,$9.51 Mil ,$740.30 Mil 
CLDX,20.6,undefined,-2.017,N/A,undefined, -15.61 , 712.67 Mil ,$-41.96 Mil ,$26.48 Mil 
CLEU,4.02,undefined,None,,undefined, 74.11 , 19.93 Mil ,$-0.36 Mil ,$1.81 Mil 
CLFD,30.13,undefined,0.719,N/A,undefined, 28.59 , 402.53 Mil ,$8.1 Mil ,$10.1 Mil 
CLGN,13.45,undefined,-0.838,N/A,undefined, -25.54 , 125.92 Mil ,$-4.97 Mil ,$6.36 Mil 
CLIR,5.68,undefined,-0.246,N/A,undefined, -25.36 , 164.37 Mil ,$-5.82 Mil ,$2.15 Mil 
CLLS,20.21,undefined,-1.91,N/A,undefined, -8.05 , 744.23 Mil ,$-126.52 Mil ,$160.63 Mil 
CLMT,6.1,-49.88427631578947,-1.863,10.00,-8.177750215703192, 21.55 , 1.79 Bil ,$19 Mil ,"$1,937 Mil "
CLNE,13.74,-1.7006578947368423,-0.05,15.00,-0.1237742281467862, 65.71 , 2.88 Bil ,$47.8 Mil ,$192.2 Mil 
CLNN,12.78,undefined,None,N/A,undefined,Not Found!, 718.89 Mil ,$ Mil ,$82.65 Mil 
CLOU,25.74,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CLPS,5.07,undefined,0.343,,undefined, 13.24 , 83.17 Mil ,$5.7 Mil ,$28.3 Mil 
CLPT,21.14,undefined,None,30.00,undefined, -93.43 , 450.14 Mil ,$-8.25 Mil ,$27.14 Mil 
CLRB,1.61,undefined,-0.762,N/A,undefined, -3.24 , 49.15 Mil ,$-14.00 Mil ,$3.87 Mil 
CLRG,30.9918,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CLRMU,9.95,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.02 Mil 
CLRO,3.6,-13.069736842105263,-0.42,13.00,-3.6304824561403506, -14.99 , 62.66 Mil ,$-6.21 Mil ,$13.52 Mil 
CLSD,2.47,undefined,-0.392,N/A,undefined, -7.26 , 128.83 Mil ,$-13.18 Mil ,$10.56 Mil 
CLSK,23.82,undefined,-2.059,N/A,undefined, -48.99 , 753.63 Mil ,$-12.72 Mil ,$6.14 Mil 
CLSN,1.38,undefined,-0.672,N/A,undefined, -4.63 , 98.55 Mil ,$-15.64 Mil ,$18.92 Mil 
CLVR,10.29,undefined,None,,undefined,Not Found!, 268.40 Mil ,$ Mil ,$0.00 Mil 
CLVS,7.02,-453.8026842105263,-4.379,63.10,-64.64425701004649, -3.37 , 1.14 Bil ,$-261.1 Mil ,$764.3 Mil 
CLWT,3.1,undefined,0.195,N/A,undefined, 14.21 , 14.27 Mil ,$-0.29 Mil ,$4.83 Mil 
CLXT,6.02,undefined,-1.323,N/A,undefined, -5.43 , 225.22 Mil ,$-45.46 Mil ,$26.45 Mil 
CMBM,46.72,-36.795,-0.892,20.00,-0.7875642123287672, 41.03 , 1.26 Bil ,$51.8 Mil ,$142.4 Mil 
CMCO,52.76,15.015000000000002,0.364,20.00,0.2845905989385899, 24.97 , 1.35 Bil ,$99.9 Mil ,$650.1 Mil 
CMCSA,54.11,76.131,2.28,14.57,1.406967288856034, 10.86 , 344.23 Bil ,"$13,103 Mil ","$182,131 Mil "
CMCT,12.89,undefined,-2.269,N/A,undefined, 46.53 , 794.73 Mil ,$12.83 Mil ,$361.67 Mil 
CME,204.23,111.29828947368422,5.87,4.60,0.5449654285544936, 22.61 , 75.74 Bil ,"$2,518 Mil ","$98,308 Mil "
CMIIU,12.8,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.05 Mil 
CMLF,14.89,undefined,None,,undefined,Not Found!, 927.01 Mil ,$ Mil ,$0.07 Mil 
CMLFU,16.43,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.07 Mil 
CMLS,9.11,-78.72236842105264,-2.94,10.00,-8.641313767404242, 23.12 , 1.05 Bil ,$18.3 Mil ,"$1,462.1 Mil "
CMPI,12.14,undefined,None,45.10,undefined, -3.28 , 112.65 Mil ,$-34.01 Mil ,$8.86 Mil 
CMPR,100.13,-167.35125000000002,-4.057,20.00,-1.6713397583141918, 20.73 , 4.11 Bil ,$243 Mil ,"$2,295 Mil "
CMPS,36.82,undefined,-3.551,N/A,undefined, -40.75 , 1.18 Bil ,$-37.20 Mil ,$6.90 Mil 
CMRX,9.64,undefined,-0.7,N/A,undefined, -16.81 , 741.23 Mil ,$-36.10 Mil ,$11.35 Mil 
CMTL,24.84,-124.01052631578948,-3.36,17.00,-4.992372234935164, -18.56 , 903.80 Mil ,$-50.3 Mil ,$483.3 Mil 
CNBKA,93.31,170.05131578947368,7.58,7.00,1.8224339919566357,Not Found!, 605.92 Mil ,$36.0 Mil ,"$5,988.4 Mil "
CNCE,4.99,undefined,-2.396,N/A,undefined, -0.74 , 52.65 Mil ,$-69.25 Mil ,$28.10 Mil 
CNCR,29.931,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CNDT,6.66,13.684868421052633,-0.61,-24.00,2.0547850482061008, 7.42 , 2.81 Bil ,$22 Mil ,"$3,066 Mil "
CNET,2.64,-5.114276315789474,-0.191,10.00,-1.9372258771929824, -26.32 , 83.61 Mil ,$0.04 Mil ,$7.89 Mil 
CNEY,4.9,undefined,None,,undefined, 21.13 , 75.66 Mil ,$-1.84 Mil ,$10.13 Mil 
CNFR,3.75,2.0407894736842103,0.06,15.00,0.5442105263157894, 22.27 , 69.59 Mil ,$2.9 Mil ,$217.2 Mil 
CNNB,13.06,undefined,1.07,,undefined,Not Found!, 61.71 Mil ,$-10.51 Mil ,$192.21 Mil 
CNOB,25.35,47.9296052631579,1.79,10.00,1.8907142115644142,Not Found!, 1.36 Bil ,$78.9 Mil ,"$6,632.0 Mil "
CNSL,7.2,7.127565789473685,0.469,2.00,0.9899396929824562, 4.52 , 2.33 Bil ,$147 Mil ,"$3,118 Mil "
CNSP,2.39,undefined,-0.637,N/A,undefined, -4.89 , 46.11 Mil ,$-7.34 Mil ,$1.91 Mil 
CNST,23.39,undefined,-2.815,N/A,undefined, -5.68 , 694.97 Mil ,$-112.37 Mil ,$31.13 Mil 
CNTG,12.13,undefined,None,N/A,undefined, -12.76 , 269.46 Mil ,$-41.22 Mil ,$73.48 Mil 
CNTY,10.27,-78.74263157894738,-1.624,25.00,-7.667247476041615, 25.94 , 778.75 Mil ,$-1.7 Mil ,$553.8 Mil 
CNXC,149.72,undefined,None,18.85,undefined, 17.14 , 8.61 Bil ,$127 Mil ,"$2,875 Mil "
CNXN,46.39,50.628947368421066,2.12,8.00,1.0913763174912927, 13.19 , 1.14 Bil ,$25 Mil ,$379 Mil 
COCP,1.39,undefined,-0.175,N/A,undefined, -7.49 , 69.78 Mil ,$-10.07 Mil ,$1.74 Mil 
CODA,8.75,undefined,0.273,N/A,undefined, 20.62 , 81.57 Mil ,$2.22 Mil ,$3.73 Mil 
CODX,9.54,undefined,1.52,N/A,undefined, 5.31 , 226.73 Mil ,$27.39 Mil ,$4.54 Mil 
COFS,24.05,undefined,2.07,,undefined,Not Found!, 89.22 Mil ,$-18.34 Mil ,"$1,606.06 Mil "
COGT,8.78,undefined,None,N/A,undefined, -2.58 , 211.62 Mil ,$-35.85 Mil ,$16.25 Mil 
COHR,252.89,-414.6319736842105,-17.362,8.00,-1.6395744145051623, -18.72 , 6.32 Bil ,$153 Mil ,$938 Mil 
COHU,41.84,-29.073434210526315,-0.33,52.37,-0.6948717545536882, 44.81 , 2.39 Bil ,$31.1 Mil ,$578.1 Mil 
COKE,288.78,undefined,18.3,N/A,undefined, 8.34 , 3.81 Bil ,$292 Mil ,"$2,709 Mil "
COLB,43.09,51.75138157894737,2.167,8.00,1.2010067667428026,Not Found!, 2.48 Bil ,$183.6 Mil ,"$14,237.2 Mil "
COLL,23.7,9.955000000000002,0.76,0.55,0.4200421940928271, 7.66 , 905.07 Mil ,$-279.8 Mil ,$457.8 Mil 
COLM,105.63,94.2584210526316,1.62,31.70,0.8923451770579534, 23.16 , 6.57 Bil ,$247 Mil ,"$1,004 Mil "
COMM,15.36,-152.37894736842105,-3.2,24.40,-9.920504385964913, 17.77 , 13.27 Bil ,$315 Mil ,"$12,180 Mil "
COMS,2.67,undefined,None,N/A,undefined, -10.64 , 199.60 Mil ,$-2.90 Mil ,$28.87 Mil 
COMT,30.05,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CONE,67.72,129.47027500000002,0.349,247.81,1.9118469432959246, 21.66 , 11.80 Bil ,$456 Mil ,"$4,339 Mil "
CONN,19.45,-5.0151315789473685,-0.11,23.00,-0.2578473819510215, 26.07 , 1.72 Bil ,$317 Mil ,"$1,405 Mil "
CONX,9.97,undefined,None,N/A,undefined,Not Found!, 967.66 Mil ,$ Mil ,$0.19 Mil 
CONXU,10.25,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.19 Mil 
COOLU,10.1,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.25 Mil 
COOP,34.76,135.52,3.2,20.76,3.89873417721519, 13.22 , 15.54 Bil ,$144 Mil ,"$21,661 Mil "
CORE,38.69,24.343289473684212,1.39,3.60,0.6291881487124377, 14.87 , 2.39 Bil ,$117 Mil ,"$1,323 Mil "
CORT,23.79,-40.47565789473684,0.85,-41.40,-1.701372757239884, 18.6 , 2.43 Bil ,$150.7 Mil ,$48.4 Mil 
COST,352.48,242.596402631579,9.779,8.64,0.6882557950283108, 20.75 , 158.56 Bil ,"$5,809 Mil ","$38,789 Mil "
COUP,254.48,-126.99471052631577,-2.627,24.90,-0.4990361149257929, -247.16 , 20.05 Bil ,$66.7 Mil ,"$2,064.6 Mil "
COWN,35.15,190.11184210526318,7.1,10.00,5.40858725761773, 17.79 , 3.54 Bil ,$511 Mil ,"$6,659 Mil "
CPHC,13.68,undefined,0.226,N/A,undefined, 64.05 , 65.40 Mil ,$0.14 Mil ,$17.51 Mil 
CPIX,3.03,-12.259210526315792,-0.22,30.00,-4.04594406809102, -25.81 , 40.20 Mil ,$3.30 Mil ,$49.59 Mil 
CPLP,11.13,57.27827368421052,1.638,15.66,5.146295928500495, 6.01 , 532.03 Mil ,$-104.6 Mil ,$400.1 Mil 
CPRT,108.61,131.55247368421053,2.951,22.30,1.2112372128184379, 25.72 , 26.51 Bil ,$479 Mil ,$992 Mil 
CPRX,4.61,undefined,0.71,N/A,undefined, 7.78 , 328.00 Mil ,$45.0 Mil ,$22.8 Mil 
CPSH,13.09,undefined,0.069,N/A,undefined, 125.76 , 181.60 Mil ,$1.35 Mil ,$1.96 Mil 
CPSI,30.6,28.439342105263158,0.98,11.55,0.9293902648778809, 14.91 , 531.15 Mil ,$42.5 Mil ,$126.3 Mil 
CPSS,4.03,37.12500000000001,0.9,20.00,9.212158808933003,Not Found!, 2.12 Bil ,$238.7 Mil ,"$2,012.5 Mil "
CPST,9.14,-94.69480263157895,-1.953,25.00,-10.36048168835656, -10.56 , 143.16 Mil ,$-8.92 Mil ,$81.54 Mil 
CPTA,15.44,-433.6657368421053,-13.084,14.40,-28.08715912189801,Not Found!, 205.22 Mil ,$53.11 Mil ,$219.05 Mil 
CPZ,20.11,undefined,None,,undefined,Not Found!, - ,$ Mil ,$199.28 Mil 
CRAI,74.64,82.20328947368421,3.07,10.00,1.1013302448242792, 11.4 , 681.50 Mil ,$37.6 Mil ,$349.5 Mil 
CRBP,1.97,undefined,-1.424,N/A,undefined, -1.65 , 197.53 Mil ,$-100.17 Mil ,$57.02 Mil 
CRDF,9.26,undefined,None,N/A,undefined, -12.06 , 227.07 Mil ,$-16.32 Mil ,$6.57 Mil 
CREE,108.13,59.21444736842106,-3.37,-20.64,0.547622744552123, -81.25 , 13.13 Bil ,$-445.1 Mil ,"$1,253.3 Mil "
CREG,8.05,undefined,1,N/A,undefined, 56.66 ," -26,919,000.00 ",$46.64 Mil ,$43.46 Mil 
CRESY,5.22,77.57894736842107,1.6,25.00,14.86186731195806, 2.57 , 1.94 Bil ,$272 Mil ,"$2,347 Mil "
CREX,1.83,undefined,-1.652,N/A,undefined, -2.03 , 29.80 Mil ,$-4.19 Mil ,$16.28 Mil 
CRIS,11.32,undefined,-0.615,N/A,undefined, -37.43 , 923.53 Mil ,$-26.42 Mil ,$73.69 Mil 
CRMD,9.99,undefined,-0.771,N/A,undefined, -10.96 , 288.23 Mil ,$-19.96 Mil ,$5.55 Mil 
CRMT,152.37,321.4142105263158,10.094,13.50,2.109432372030687, 12.6 , 1.27 Bil ,$-14.3 Mil ,$378.3 Mil 
CRNC,89.58,undefined,None,15.00,undefined, 78.6 , 3.69 Bil ,$28.4 Mil ,$707.6 Mil 
CRNT,3.77,-7.176776315789475,-0.211,15.00,-1.903654195169622, 84.98 , 297.19 Mil ,$10.8 Mil ,$126.3 Mil 
CRNX,15.28,undefined,-2.424,N/A,undefined, -5.09 , 344.17 Mil ,$-59.73 Mil ,$13.10 Mil 
CRON,9.46,undefined,-0.212,,undefined, -10.5 , 2.09 Bil ,$-177.85 Mil ,$217.51 Mil 
CROX,80.45,122.10000000000001,4.56,10.00,1.5177128651336234, 22.54 , 5.44 Bil ,$225 Mil ,$828 Mil 
CRSA,10.06,undefined,-0.08,,undefined, -96.19 , 314.07 Mil ,$-1.55 Mil ,$11.36 Mil 
CRSAU,10.34,undefined,-0.08,,undefined,Not Found!, - ,$-1.55 Mil ,$11.36 Mil 
CRSP,121.85,1469.2975000000001,-5.29,-200.40,12.058247845711943, -21.36 , 7.38 Bil ,$-256.72 Mil ,$163.73 Mil 
CRSR,33.29,undefined,None,9.02,undefined, 21.77 , 3.31 Bil ,$121 Mil ,$877 Mil 
CRTD,4.3,undefined,None,N/A,undefined, -2.56 , 37.55 Mil ,$-6.28 Mil ,$3.32 Mil 
CRTO,34.73,6.094578947368422,1.16,-4.87,0.17548456514161886, 8.78 , 1.89 Bil ,$118 Mil ,$701 Mil 
CRTX,36.03,-102.17147368421054,-2.634,18.30,-2.8357333800780054, -12.68 , 969.87 Mil ,$-50.87 Mil ,$17.20 Mil 
CRUS,84.79,84.52646052631582,3.366,8.85,0.9968918566613494, 17.41 , 4.86 Bil ,$209 Mil ,$425 Mil 
CRVL,102.59,undefined,2.38,N/A,undefined, 23.57 , 1.84 Bil ,$70.4 Mil ,$248.0 Mil 
CRVS,3.08,undefined,-0.203,N/A,undefined, -1.82 , 78.34 Mil ,$-34.78 Mil ,$13.38 Mil 
CRWD,182.51,-20.606907894736842,-0.425,25.00,-0.11290837704639112, -882.31 , 40.73 Bil ,$292.7 Mil ,"$1,860.7 Mil "
CRWS,7.73,14.263815789473684,0.73,5.00,1.8452543065295839, 6.23 , 80.56 Mil ,$8.57 Mil ,$23.37 Mil 
CSA,63.3663,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CSB,59,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CSBR,11.3,-3.4013157894736845,-0.1,15.00,-0.30100139729855613, 438.89 , 150.98 Mil ,$-1.11 Mil ,$17.39 Mil 
CSCO,51.71,52.234078947368424,2.39,6.60,1.0101349632057324, 13.61 , 203.41 Bil ,"$14,372 Mil ","$56,480 Mil "
CSCW,1.78,undefined,None,20.00,undefined, -18.61 , 96.05 Mil ,$-4.54 Mil ,$0.53 Mil 
CSF,59.0876,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CSGP,821.89,244.6125,5.93,20.00,0.29762194454245705, 76.46 , 31.40 Bil ,$438 Mil ,"$1,540 Mil "
CSGS,44.89,9.219736842105263,1.82,-5.00,0.20538509338617203, 10.12 , 1.73 Bil ,$143.6 Mil ,$909.6 Mil 
CSII,38.34,-90.04136842105264,-0.552,104.20,-2.348496828926777, -94.09 , 1.30 Bil ,$-15.9 Mil ,$75.1 Mil 
CSIQ,49.63,70.6171052631579,2.38,12.00,1.4228713532774107, 23.57 , 4.86 Bil ,$0 Mil ,"$4,377 Mil "
CSML,34.5233,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CSOD,43.58,-21.84947368421053,-0.629,15.50,-0.5013647013357166, 43.12 , 4.02 Bil ,$64.1 Mil ,"$1,865.7 Mil "
CSPI,8.7,undefined,0.046,N/A,undefined, 15.06 , 21.82 Mil ,$2.13 Mil ,$21.79 Mil 
CSQ,17.23,undefined,1.449,N/A,undefined,Not Found!, 3.40 Bil ,$129.2 Mil ,$954.9 Mil 
CSSE,24.06,undefined,-3.498,N/A,undefined, 74.69 , 439.92 Mil ,$-18.95 Mil ,$94.39 Mil 
CSSEP,26.64,undefined,-3.498,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CSTE,13.73,7.021184210526315,0.21,14.60,0.5113753977076705, 10.5 , 518.07 Mil ,$27.8 Mil ,$333.6 Mil 
CSTL,68.46,undefined,-0.207,N/A,undefined, -192.51 , 1.37 Bil ,$5.11 Mil ,$23.64 Mil 
CSTR,17.25,undefined,1.22,N/A,undefined,Not Found!, 151.67 Mil ,$23.6 Mil ,"$2,643.5 Mil "
CSWC,22.16,undefined,0.839,N/A,undefined,Not Found!, 784.39 Mil ,$-69.48 Mil ,$396.18 Mil 
CSWI,135,89.72526315789474,3.024,12.00,0.6646315789473685, 32.35 , 2.37 Bil ,$53.3 Mil ,$477.9 Mil 
CSX,96.42,124.42736842105268,3.6,15.38,1.2904726034127014, 15.27 , 87.91 Bil ,"$2,637 Mil ","$26,683 Mil "
CTAQ,9.69,undefined,None,,undefined,Not Found!, 499.32 Mil ,$ Mil ,$0.01 Mil 
CTAQU,9.92,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.01 Mil 
CTAS,341.31,282.3144210526316,9.136,12.85,0.8271495738555319, 23.86 , 38.74 Bil ,"$1,120 Mil ","$4,531 Mil "
CTBI,44.03,65.45723684210526,3.35,5.00,1.4866508481059564,Not Found!, 531.62 Mil ,$60.9 Mil ,"$4,484.3 Mil "
CTEC,22.11,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
CTG,9.55,18.026973684210528,0.53,15.00,1.8876412234775422, 9.3 , 137.10 Mil ,$27.9 Mil ,$96.7 Mil 
CTHR,2.96,-7.355526315789474,-0.132,30.00,-2.484975106685633, -21.63 , 70.37 Mil ,$2.45 Mil ,$6.38 Mil 
CTIB,2.29,-95.06460526315789,-1.706,30.00,-41.51292806251436, 145.27 , 27.16 Mil ,$0.41 Mil ,$20.22 Mil 
CTIC,2.91,undefined,-0.737,N/A,undefined, -2.9 , 147.59 Mil ,$-42.21 Mil ,$18.21 Mil 
CTMX,7.73,-7.843,-0.713,-0.90,-1.0146183699870632, -4.74 , 218.60 Mil ,$2.9 Mil ,$308.9 Mil 
CTRE,23.285,17.75486842105263,0.846,6.00,0.7625024015912661, 18.16 , 2.86 Bil ,$145.7 Mil ,$589.4 Mil 
CTRM,0.761,undefined,-0.026,,undefined, 582.29 , 356.35 Mil ,$0.98 Mil ,$20.90 Mil 
CTRN,83.78,78.91052631578947,2.32,15.00,0.941877850510736, 18.53 , 952.97 Mil ,$61.7 Mil ,$321.0 Mil 
CTSH,78.12,44.26486842105263,2.57,3.40,0.5666265798905866, 15.24 , 40.89 Bil ,"$2,901 Mil ","$6,087 Mil "
CTSO,8.68,undefined,-0.202,N/A,undefined, -43.68 , 310.33 Mil ,$-7.29 Mil ,$10.74 Mil 
CTXR,1.78,undefined,-0.467,N/A,undefined, -10.82 , 229.06 Mil ,$-21.38 Mil ,$9.51 Mil 
CTXS,140.36,111.15789473684211,4,10.70,0.7919485233459824, 23.48 , 18.31 Bil ,$886 Mil ,"$4,778 Mil "
CUBA,5.88,undefined,-0.877,N/A,undefined,Not Found!, 37.22 Mil ,$0.00 Mil ,$0.17 Mil 
CUE,12.2,undefined,-1.561,N/A,undefined, -6.87 , 296.90 Mil ,$-32.49 Mil ,$20.62 Mil 
CUTR,30.05,-69.38467105263159,-1.431,25.00,-2.3089740782905688, -24.71 , 529.62 Mil ,$-18.2 Mil ,$75.9 Mil 
CVAC,91.46,undefined,None,-110.46,undefined, -131.08 , 16.02 Bil ,$-8.78 Mil ,$306.90 Mil 
CVBF,22.09,34.75565789473685,1.298,10.00,1.5733661337590243,Not Found!, 1.04 Bil ,$180.4 Mil ,"$12,411.3 Mil "
CVCO,225.61,380.70421052631576,6.832,30.00,1.687443865636788, 20.75 , 1.82 Bil ,$111 Mil ,$245 Mil 
CVCY,18.41,38.68815789473685,1.62,8.00,2.101475170816776,Not Found!, 181.10 Mil ,$15.50 Mil ,"$1,759.08 Mil "
CVET,29.97,-6.928842105263157,-0.22,13.26,-0.23119259610487677, 22.97 , 4.89 Bil ,$-5 Mil ,"$1,959 Mil "
CVGI,9.65,-35.60526315789473,-1.2,12.00,-3.6896645759476407, -82.23 , 444.29 Mil ,$27.2 Mil ,$359.0 Mil 
CVGW,77.64,-14.124000000000002,-0.428,14.30,-0.18191653786707884, 126.44 , 1.47 Bil ,$36 Mil ,$185 Mil 
CVLG,20.59,undefined,None,5.00,undefined, 6.27 , 453.63 Mil ,$-31.0 Mil ,$386.1 Mil 
CVLT,64.5,-16.28,-0.608,10.00,-0.2524031007751938, 63.76 , 2.74 Bil ,$84.4 Mil ,$491.5 Mil 
CVLY,18.41,undefined,0.86,N/A,undefined,Not Found!," -73,045,000.00 ",$9.66 Mil ,"$1,964.24 Mil "
CVV,4.35,undefined,-0.511,N/A,undefined, -32.3 , 35.23 Mil ,$-0.30 Mil ,$16.78 Mil 
CWBC,12.84,undefined,0.97,N/A,undefined,Not Found!, 196.64 Mil ,$15.51 Mil ,$886.43 Mil 
CWBR,1.36,undefined,-0.333,N/A,undefined, -12.22 , 62.13 Mil ,$-9.63 Mil ,$5.46 Mil 
