TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE,PERCENT_DROP_SINCE_SEPTEMBER,,,
HURN,Huron Consulting Group Inc.,107.66,83.2572,5.85,9.29,0.773334572,4.109112,17.92338251,N/A,2499163904,97379248,26905000,-1694791128,1.77,889763008,1.075524476,1.0496004,105.065,100.1,0.0438,6.006678704,16211829,USD,United States,1721696128,strong_buy,10.777,0.969154676,85.48705131,0.794046548,Industrials,Consulting Services,N/A,0.027509999,306.8088796,-285.9923834,0.447844461,-592.801263,-393.6523834,-2.656440492
HVII,Hennessy Capital Investment Cor,10.43,undefined,0.12,N/A,undefined,N/A,undefined,N/A,271620608,N/A,323217,-271620591,0.012,0,1.029615005,1.030108588,10.435,10.13,0,undefined,19690000,USD,United States,271943808,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.025390001,N/A,N/A,0.192124427,#VALUE!,#VALUE!,#VALUE!
HUTG,Leverage Shares 2X Long HUT Dai,34.46,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.417132216,6.039106145,32.43,5.37,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-13.76376179,#VALUE!,#VALUE!,#VALUE!
HUT,Hut 8 Corp.,121.48,undefined,-2.82,N/A,undefined,9.696574,-45.50235191,N/A,14251164672,-300598368,160016000,-13225171328,1.421,422911008,7.96068152,7.737876802,118.08,15.26,0.157,-2.669752109,112594112,USD,United States,13385187328,strong_buy,-34.166,-2.686006289,undefined,undefined,Financial Services,Capital Markets,N/A,0.092860006,153.2323234,-170.6596231,-4.91546809,-323.8919465,-292.1396231,-1.4048372
HVIIR,Hennessy Capital Investment Cor,0.2963,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,323217,-146302,0.012,0,0.987666667,1,0.3,0.3,N/A,undefined,1514580,USD,United States,469519,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,-4.419355574,#VALUE!,#VALUE!,#VALUE!
HVMC,Highview Merger Corp.,10.2,undefined,N/A,N/A,undefined,N/A,undefined,N/A,297778976,N/A,732517,-299249467,0.025,0,1.027190332,1.027190332,10.2,9.93,0.0004,undefined,23660000,USD,United States,299981984,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0,N/A,N/A,0.492614614,#VALUE!,#VALUE!,#VALUE!
HVMCU,Highview Merger Corp.,10.27,undefined,N/A,N/A,undefined,N/A,undefined,N/A,301308192,N/A,732517,N/A,0.025,0,1.025974026,1.025974026,10.27,10.01,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.01574,N/A,N/A,-4.46E-06,#VALUE!,#VALUE!,#VALUE!
HVIIU,Hennessy Capital Investment Cor,10.77,undefined,N/A,N/A,undefined,N/A,undefined,N/A,279948064,N/A,323217,N/A,0.012,0,1.035576923,1.035576923,10.77,10.4,N/A,undefined,24008300,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0,N/A,N/A,-0.277779539,#VALUE!,#VALUE!,#VALUE!
HVMCW,Highview Merger Corp. Warrants,0.35,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,732517,N/A,0.025,0,1,1,0.35,0.35,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,29.15129254,#VALUE!,#VALUE!,#VALUE!
HWAY,Themes US Infrastructure ETF,38.6601,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.437178439,1.429182156,38.445,26.9,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,1.098583429,#VALUE!,#VALUE!,#VALUE!
HWBK,"Hawthorn Bancshares, Inc.",36.17,undefined,3.49,N/A,undefined,1.4963074,undefined,N/A,295283488,N/A,103060000,-159630928,14.944,148894000,1.336165497,1.320280754,35.74,27.07,0.0085,undefined,6896585,USD,United States,262690928,none,N/A,undefined,undefined,undefined,Financial Services,Banks - Regional,N/A,0.18090999,20.23618876,20.78074317,2.175136839,0.544554413,-15.38925683,0.574529809
HWC,Hancock Whitney Corporation,71,78.69312,4.86,11.74,1.108353803,1.2811002,undefined,N/A,6696968704,N/A,834913024,-4827478272,10.288,1769666048,1.323885885,1.290695506,69.22,53.63,0.0983,undefined,81157968,USD,United States,5662391296,buy,N/A,undefined,undefined,undefined,Financial Services,Banks - Regional,N/A,0.00962,16.09424292,16.47924592,2.630817703,0.385002997,-54.52075408,0.232102055
HWCPZ,Hancock Whitney Corporation - 6,21.83,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.034107058,1.023685457,21.61,21.11,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-0.546700496,#VALUE!,#VALUE!,#VALUE!
HWH,HWH International Inc.,1.61,undefined,-0.39,N/A,undefined,6.2825284,92.6543456,N/A,11348131,129913,1559414,-11075702,0.209,805266,1.829545455,1.75,1.54,0.88,0.0116,0.017376411,7476400,USD,United States,12635116,none,-3.589,-0.240227577,undefined,undefined,Consumer Cyclical,Leisure,N/A,0.83788,-0.900674645,-0.513335129,50.46728234,0.387339516,-2.123335129,-0.318841695
HWSM,Hotchkis & Wiley SMID Cap Diver,30.42,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.24137931,1.219138951,29.875,24.505,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,1.147129604,#VALUE!,#VALUE!,#VALUE!
HWKN,"Hawkins, Inc.",160.37,undefined,3.91,N/A,undefined,7.487587,44.58924989,N/A,1783007488,75054624,5607000,-3298660008,0.531,94502000,1.359298186,1.330437362,156.965,117.98,0.0796,3.596606814,20868176,USD,United States,3304267008,none,10.635,0.64571949,undefined,undefined,Basic Materials,Specialty Chemicals,N/A,0.08401,34.19039292,34.91683714,5.133084475,0.72644422,-125.4531629,0.217726739
HXHX,Haoxin Holdings Limited,0.5058,undefined,0.3,N/A,undefined,0.2213539,-0.366689512,N/A,17218846,-12345349,1404626,-4709999,0.102,11668722,1.523493976,1.355421687,0.45,0.332,0.013099999,-1.379368603,8950000,USD,China,6114625,none,2.08,0.136125654,undefined,undefined,Industrials,Integrated Freight & Logistics,N/A,0.72402,25.22924266,16.23364379,17.62790502,-8.995598864,15.72784379,32.09498575
HYDR,Global X Hydrogen ETF,55.88,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.639584317,2.626594237,55.605,21.17,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-12.94594505,#VALUE!,#VALUE!,#VALUE!
HYBI,NEOS Enhanced Income Credit Sel,49.295,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.011179487,1.007384615,49.11,48.75,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-0.394022372,#VALUE!,#VALUE!,#VALUE!
HYFM,"Hydrofarm Holdings Group, Inc.",0.96,undefined,-62.3,N/A,undefined,N/A,0.304752317,N/A,160161024,15009000,4811000,189326,1.01,160398000,1.216730038,1.191381496,0.94,0.789,0.014500001,3.150099106,4764612,USD,United States,4621674,none,-6.251,-0.438051857,undefined,undefined,Industrials,Farm & Heavy Construction Machinery,N/A,0.22436,8.999305543,9.359951818,-0.207901494,0.360646275,8.399951818,9.74994981
HYFT,MindWalk Holdings Corp.,1.47,-4.0744,-0.1,42.43,-2.77170068,6.5872264,-17.18917154,-1.05,62461568,-3994750,14072000,-55995792,0.283,3524000,1.792682927,1.792682927,1.47,0.82,0.019,-0.085518956,46711866,CAD,United States,70067792,strong_buy,-5.957,-0.387321196,-3.484384332,-2.370329477,Healthcare,Biotechnology,N/A,0.09021,-0.234017979,-0.188760075,-20.54054156,0.045257904,-1.658760075,-0.128408214
HYLS,First Trust Tactical High Yield,40.944,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.023344164,1.017870532,40.725,40.01,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.181064522,#VALUE!,#VALUE!,#VALUE!
HYNE,"Hoyne Bancorp, Inc.",16.44,undefined,0.04,N/A,undefined,0.8354278,undefined,N/A,120176192,N/A,14359530,-109481798,1.773,1422063,1.231460674,1.225468165,16.36,13.35,0.0239,undefined,7451342,USD,United States,123841328,none,N/A,undefined,undefined,undefined,Financial Services,Banks - Regional,N/A,0.11178,N/A,N/A,1.169230769,#VALUE!,#VALUE!,#VALUE!
HYMC,Hycroft Mining Holding Corporat,26.57,undefined,-1.01,N/A,undefined,10.436734,-66.94893721,N/A,2237625088,-36258248,189856992,-2146233632,2.078,31000,9.068259386,8.655324232,25.3601,2.93,0.16790001,-0.396869631,91360601,USD,United States,2336090624,hold,-26.766,-2.578612717,undefined,undefined,Basic Materials,Gold,N/A,0.33990002,-9.398476071,-2.740851951,-12.368073,6.65762412,-29.31085195,-0.103155888
HYP,Golden Eagle Dynamic Hypergrowt,29.89,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.419278253,1.432587844,30.1703,21.06,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-4.112667935,#VALUE!,#VALUE!,#VALUE!
HYPG,Grayscale Hyperliquid Staking E,25.6,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.348077936,1.324381253,25.15,18.99,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,8.889833053,#VALUE!,#VALUE!,#VALUE!
HYPD,"Hyperion DeFi, Inc.",3.24,undefined,-7.55,N/A,undefined,0.68972254,-6.514118685,N/A,38720436,-7539178,7380922,-46125926,0.646,9072552,1.300682457,1.288639101,3.21,2.491,0.0525,-0.497381174,15157747,USD,United States,53506848,strong_buy,N/A,undefined,undefined,undefined,Healthcare,Biotechnology,N/A,0.1294,-116.7223369,-14.16729916,-7.428571429,102.5550378,-17.40729916,-4.372623198
HYPR,"Hyperfine, Inc.",1.38,-6.0256,-0.4,10.33,-4.366376812,3.9828079,-7.141253917,N/A,109338064,-16274000,40778000,-97207760,0.411,13123000,2.090909091,2.106060606,1.39,0.66,0.0198,-0.193243374,84215048,USD,United States,137985760,none,-3.254,-0.2,-2.911018183,-2.109433466,Healthcare,Medical Devices,N/A,0.04814,-0.477265334,-0.444055131,-8,0.033210203,-1.824055131,-0.321779081
HYXF,iShares ESG Advanced High Yield,46.73,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.022538293,1.019037199,46.57,45.7,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.360808652,#VALUE!,#VALUE!,#VALUE!
HYZD,WisdomTree Interest Rate Hedged,22.64,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.031905196,1.027803099,22.55,21.94,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.04419284,#VALUE!,#VALUE!,#VALUE!
IACO,Idea Acquisition Corp.,9.9001,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,250689,1.012280164,1.014314928,9.92,9.78,N/A,undefined,35000000,USD,United States,434000000,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0,N/A,N/A,0.001013954,#VALUE!,#VALUE!,#VALUE!
IACOU,Idea Acquisition Corp.,10,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,250689,1.013171226,1.014184397,10.01,9.87,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.00286,N/A,N/A,-0.099902384,#VALUE!,#VALUE!,#VALUE!
IACOW,Idea Acquisition Corp. Warrants,0.3751,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,250689,1.022349414,1,0.3669,0.3669,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,2.207080684,#VALUE!,#VALUE!,#VALUE!
IACQU,Irenic Acquisition Corp.,10.09,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,82370,1.01001001,1.01001001,10.09,9.99,N/A,undefined,22000000,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.01748,N/A,N/A,0.49800835,#VALUE!,#VALUE!,#VALUE!
IALT,iShares Systematic Alternatives,28.29,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.132959551,1.123768522,28.0605,24.97,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-1.222064934,#VALUE!,#VALUE!,#VALUE!
IART,Integra LifeSciences Holdings C,17.71,-88.92368,-6.47,8.68,-5.021099944,1.2840612,19.88437124,N/A,3153160192,69289752,265502000,-1072604752,3.413,2040878976,2.035632184,1.964367816,17.09,8.7,0.1415,0.890649233,77796903,USD,United States,1338106752,hold,10.228,0.628641672,12.24108306,0.691196107,Healthcare,Medical Devices,N/A,0.143,0.361877773,0.355390895,0.85421719,-0.006486878,-17.35460911,0.020067244
IBAC,IB Acquisition Corp.,10.8,undefined,-0.01,N/A,undefined,N/A,91.27845352,N/A,54097028,592570,4634,-54084242,0.001,12788,1.05986261,1.05986261,10.8,10.19,0.014099999,0.11831927,5008229,USD,United States,54088876,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.84343004,2.625601766,2.846009658,0.09267876,0.220407892,-7.953990342,0.263519413
IBACR,IB Acquisition Corp.,0.115,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,592570,4634,N/A,0.001,12788,0.99913119,1,0.1151,0.1151,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,-2.044291354,#VALUE!,#VALUE!,#VALUE!
IBAT,iShares Energy Storage & Materi,45.01,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.18707483,2.21574344,45.6,20.58,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-4.152468319,#VALUE!,#VALUE!,#VALUE!
IBB,iShares Biotechnology ETF,171.44,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.386942804,1.385405712,171.25,123.61,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.005837557,#VALUE!,#VALUE!,#VALUE!
IBBQ,Invesco Nasdaq Biotechnology ET,29.685,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.436139332,1.448476052,29.94,20.67,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.368541336,#VALUE!,#VALUE!,#VALUE!
IBCP,Independent Bank Corporation,34.7,undefined,3.34,N/A,undefined,1.3817991,undefined,N/A,602833664,N/A,201884992,-504288000,9.797,89685000,1.171110361,1.146162673,33.9608,29.63,0.0334,undefined,20606157,USD,United States,706172992,none,N/A,undefined,undefined,undefined,Financial Services,Banks - Regional,N/A,0.049840003,N/A,N/A,1.461986041,#VALUE!,#VALUE!,#VALUE!
IBG,Innovation Beverage Group Limit,1.175,undefined,-7.75,N/A,undefined,0.18905145,-2.09576456,N/A,1047535,-1018082,188393,-1899871,0.428,719058,1.631944444,1.541666667,1.11,0.72,0.0173,-0.56065458,1815881,USD,Australia,2088264,none,-0.419,undefined,undefined,undefined,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,0.0253,N/A,N/A,8.796291973,#VALUE!,#VALUE!,#VALUE!
IBEX,IBEX Limited,31.11,58.2144,3.2,14.24,1.871243973,2.5486755,13.16265154,N/A,462151392,31645250,15409000,-392959032,1.151,61025000,1.199306091,1.158635312,30.055,25.94,0.0156,2.363505552,13389116,USD,United States,408368032,none,5.929,0.452250191,42.996893,1.38209235,Technology,Information Technology Services,N/A,0.07059,20.0475673,355.4504857,4.325956802,335.4029184,324.3404857,11.42560224
IBGA,iShares iBonds Dec 2044 Term Tr,24.4,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.034117398,1.031786395,24.345,23.595,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.805618992,#VALUE!,#VALUE!,#VALUE!
IBGC,iShares iBonds Dec 2046 Term Tr,24.98,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.035655058,1.03358209,24.93,24.12,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.807099709,#VALUE!,#VALUE!,#VALUE!
IBGK,iShares iBonds Dec 2054 Term Tr,22.9002,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.020053452,1.037416481,23.29,22.45,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-0.92069771,#VALUE!,#VALUE!,#VALUE!
IBGB,iShares iBonds Dec 2045 Term Tr,24.24,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.029692876,1.032343571,24.3024,23.541,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.351891165,#VALUE!,#VALUE!,#VALUE!
IBGL,iShares iBonds Dec 2055 Term Tr,23.7,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.028199566,1.041214751,24,23.05,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-0.31126511,#VALUE!,#VALUE!,#VALUE!
IBGM,iShares iBonds Dec 2056 Term Tr,24.77,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.034670008,1.040100251,24.9,23.94,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.283397712,#VALUE!,#VALUE!,#VALUE!
IBIO,"iBio, Inc.",1.55,-21.21728,-0.56,38.86,-13.68856774,0.71269494,-5.155189017,N/A,4529769,-14936750,74797000,-4688696,1.506,2325000,2.767857143,2.642857143,1.48,0.56,0.0761,-0.300667928,49678561,USD,United States,79485696,strong_buy,-0.16,-0.010403121,-11.39170645,-7.349488035,Healthcare,Biotechnology,N/A,0.01714,-0.297285919,-0.214318967,-19.68911699,0.082966952,-1.764318967,-0.138270301
IBIT,iShares Bitcoin Trust ETF,37.17,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.110215054,1.082437276,36.24,33.48,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,3.192669427,#VALUE!,#VALUE!,#VALUE!
IBOT,VanEck Robotics ETF,66.461,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.538093034,1.535989354,66.3701,43.21,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-1.415116669,#VALUE!,#VALUE!,#VALUE!
IBKR,"Interactive Brokers Group, Inc.",93.1,42.94656,2.33,14.54,0.461294952,7.584749,undefined,N/A,-35080368128,N/A,1.24586E+11,-36707762176,279.664,32355999744,1.888438134,1.894726166,93.41,49.3,0.0348,undefined,445484364,USD,United States,1.61294E+11,buy,N/A,undefined,undefined,undefined,Financial Services,Capital Markets,N/A,0.0271,3626.545018,753.6751135,6.937747083,-2872.869904,660.5751135,8.095328824
IBOC,International Bancshares Corpor,75.51,58.2096,6.7,2.36,0.770885975,1.3916676,undefined,N/A,4833369600,N/A,585939008,-3989978560,9.423,724003008,1.215159318,1.171869971,72.82,62.14,0.0319,undefined,62181244,USD,United States,4575917568,none,N/A,undefined,undefined,undefined,Financial Services,Banks - Regional,N/A,0.13087,39.37206085,39.94366682,3.523440461,0.571605963,-35.56633318,0.528985125
IBRX,"ImmunityBio, Inc.",6.72,undefined,-0.85,N/A,undefined,N/A,-36.33479976,-9.4,7782827520,-193704624,380879008,-6940125024,0.364,1124608000,3.446153846,3.439384615,6.7068,1.95,0.3402,-0.184946664,1047353977,USD,United States,7321004032,none,-31.713,-2.061963589,undefined,undefined,Healthcare,Biotechnology,N/A,0.62476003,-0.765456468,-0.471913475,-7.818929559,0.293542993,-7.191913475,-0.07022522
IBTG,iShares iBonds Dec 2026 Term Tr,22.86,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.00131406,1.00131406,22.86,22.83,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.065662889,#VALUE!,#VALUE!,#VALUE!
IBTI,iShares iBonds Dec 2028 Term Tr,22.14,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.003626473,1.000453309,22.07,22.06,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.11304648,#VALUE!,#VALUE!,#VALUE!
IBTH,iShares iBonds Dec 2027 Term Tr,22.36,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.001792115,1.000448029,22.33,22.32,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.067132187,#VALUE!,#VALUE!,#VALUE!
IBTJ,iShares iBonds Dec 2029 Term Tr,21.65,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.005106778,1.001160631,21.565,21.54,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.208287242,#VALUE!,#VALUE!,#VALUE!
IBTK,iShares iBonds Dec 2030 Term Tr,19.54,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.006438321,1.001287664,19.44,19.415,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.230824103,#VALUE!,#VALUE!,#VALUE!
IBTL,iShares iBonds Dec 2031 Term Tr,20.18,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.009,1.0035,20.07,20,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.273291925,#VALUE!,#VALUE!,#VALUE!
IBTM,iShares iBonds Dec 2032 Term Tr,22.705,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.012215238,1.006196781,22.57,22.431,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.35359116,#VALUE!,#VALUE!,#VALUE!
IBTO,iShares iBonds Dec 2033 Term Tr,24.125,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.013655462,1.007983193,23.99,23.8,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.374454559,#VALUE!,#VALUE!,#VALUE!
IBTP,iShares iBonds Dec 2034 Term Tr,25.385,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.01621297,1.010608487,25.245,24.98,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.435214177,#VALUE!,#VALUE!,#VALUE!
IBTQ,iShares iBonds Dec 2035 Term Tr,25.08,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.01889092,1.013203331,24.94,24.615,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.50090193,#VALUE!,#VALUE!,#VALUE!
IBTR,iShares iBonds Dec 2036 Term Tr,24.885,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.020295203,1.015149651,24.7595,24.39,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.504845598,#VALUE!,#VALUE!,#VALUE!
ICCC,ImmuCell Corporation,9.38,undefined,-0.07,N/A,undefined,2.9145963,27.5614048,N/A,90823720,3078906,6812637,-78091571,0.753,12777384,2.075221239,2.046460177,9.25,4.52,0.0012,0.340330983,9046799,USD,United States,84904208,none,15.439,1.003836151,undefined,undefined,Healthcare,Biotechnology,N/A,0.32112998,-0.070622242,-0.072887852,-4.964537905,-0.00226561,-9.452887852,-0.00777056
